Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2021-10-27,19:45,EFL Cup,Fourth round,Wed,Away,D,0 (3),0 (5),West Ham,,,64,60000.0,Fernandinho,4-3-3,Jonathan Moss,Match Report,West Ham won on penalty kicks following extra time,25,7,,,0,0,2,0,0,0,,,,,,,,,,4,,,,,,,,,,0,0,0,3,4,2,,,0
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,1.1,0.8,68,53014.0,Rúben Dias,4-3-3,Andre Marriner,Match Report,,14,3,17.6,0.0,0,0,3,0,0,0,602.0,724.0,10379.0,3018.0,34.0,7.0,25.0,0.0,16.0,10,6.0,799.0,37.0,162.0,383.0,258.0,9.0,18.0,597.0,2,1,0,11,10,2,0.0,0.0,0
2021-11-03,20:00,Champions Lg,Group stage,Wed,Home,W,4,1,be Club Brugge,4.6,0.8,70,50228.0,İlkay Gündoğan,4-3-3,Antonio Matéu Lahoz,Match Report,,22,8,13.7,0.0,0,0,3,0,0,0,742.0,837.0,12722.0,4064.0,21.0,7.0,36.0,6.0,12.0,8,8.0,936.0,44.0,190.0,440.0,313.0,12.0,26.0,736.0,0,0,0,7,2,2,0.0,0.0,1
2021-11-06,12:30,Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,2.3,0.8,67,73086.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,16,5,14.7,0.0,0,0,1,0,0,0,775.0,862.0,13710.0,3923.0,10.0,9.0,29.0,2.0,12.0,6,12.0,934.0,47.0,166.0,472.0,298.0,11.0,19.0,770.0,2,0,0,12,9,1,0.0,0.0,0
2021-11-21,14:00,Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,2.6,0.2,77,52571.0,İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,,17,7,16.4,1.0,0,0,1,0,0,0,830.0,906.0,13497.0,3518.0,13.0,7.0,28.0,3.0,15.0,7,11.0,998.0,43.0,133.0,573.0,299.0,8.0,15.0,821.0,1,0,0,5,7,0,0.0,0.0,0
2021-11-24,20:00,Champions Lg,Group stage,Wed,Home,W,2,1,fr Paris S-G,2.1,1.0,54,52030.0,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,,16,5,16.2,0.0,0,0,2,0,0,0,574.0,634.0,9730.0,2831.0,11.0,7.0,29.0,4.0,10.0,5,5.0,694.0,28.0,100.0,324.0,272.0,7.0,17.0,565.0,3,0,0,13,5,3,0.0,0.0,0
2021-11-28,14:00,Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2.4,0.2,68,53245.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,19,8,16.0,0.0,0,0,3,0,0,0,680.0,770.0,10910.0,3313.0,12.0,8.0,35.0,3.0,15.0,8,7.0,868.0,59.0,208.0,438.0,228.0,6.0,15.0,669.0,2,0,0,7,6,4,0.0,0.0,0
2021-12-01,20:15,Premier League,Matchweek 14,Wed,Away,W,2,1,Aston Villa,1.2,0.9,64,41400.0,Fernandinho,4-2-3-1,Mike Dean,Match Report,,17,7,19.2,1.0,0,0,3,0,0,0,565.0,645.0,9624.0,2650.0,16.0,10.0,29.0,4.0,11.0,9,7.0,734.0,54.0,169.0,320.0,247.0,11.0,22.0,561.0,0,0,0,12,8,0,0.0,0.0,0
2021-12-04,17:30,Premier League,Matchweek 15,Sat,Away,W,3,1,Watford,3.5,0.9,77,20673.0,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,,26,12,14.4,0.0,0,0,4,0,0,0,784.0,869.0,14154.0,4376.0,11.0,11.0,47.0,5.0,15.0,8,6.0,974.0,57.0,198.0,512.0,268.0,8.0,20.0,777.0,0,0,0,7,11,1,0.0,0.0,0
2021-12-07,18:45,Champions Lg,Group stage,Tue,Away,L,1,2,de RB Leipzig,1.2,1.7,56,,Fernandinho,4-3-3,Sandro Schärer,Match Report,,13,3,17.1,3.0,0,0,5,0,0,0,511.0,601.0,9219.0,3034.0,12.0,9.0,25.0,2.0,11.0,7,5.0,659.0,41.0,135.0,401.0,130.0,3.0,6.0,504.0,2,1,0,8,18,6,0.0,0.0,0
