Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2017-09-09,17:30,Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,2.1,1.2,63,29320,Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,,18,8,18.0,1.0,0,0,5,0,0,0,525.0,628.0,9195.0,2905.0,24.0,11.0,33.0,2.0,9.0,7,4.0,698.0,45.0,154.0,340.0,207.0,10.0,14.0,520.0,0,0,0,10,9,4,0.0,0.0,0
2017-09-12,19:45,Champions Lg,Group stage,Tue,Home,W,3,0,ch Basel,3.4,0.6,60,73854,Paul Pogba,4-2-3-1,Ruddy Buquet,Match Report,,18,8,13.8,1.0,0,0,2,0,0,0,542.0,639.0,9866.0,3058.0,20.0,7.0,33.0,6.0,13.0,7,11.0,750.0,54.0,146.0,445.0,161.0,9.0,22.0,536.0,2,0,0,12,14,2,0.0,0.0,0
2017-09-17,16:00,Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,2.9,1.1,49,75042,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,,15,6,15.7,2.0,1,1,3,0,0,0,421.0,525.0,6901.0,2424.0,18.0,4.0,26.0,7.0,14.0,10,13.0,619.0,36.0,127.0,293.0,208.0,9.0,20.0,419.0,1,0,0,15,13,2,0.0,0.0,0
2017-09-20,20:00,EFL Cup,Third round,Wed,Home,W,4,1,Burton Albion,,,69,54256,Michael Carrick,4-2-3-1,Graham Scott,Match Report,,16,11,,,0,0,3,0,0,0,,,,,,,,,,14,,,,,,,,,,0,0,0,11,14,1,0.0,0.0,0
2017-09-23,15:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,1.2,1.0,40,31930,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,9,4,17.1,1.0,0,0,3,0,0,0,305.0,398.0,5439.0,2554.0,18.0,4.0,14.0,1.0,16.0,9,12.0,529.0,87.0,190.0,227.0,116.0,5.0,11.0,300.0,4,0,0,9,12,2,0.0,0.0,0
2017-09-28,00:45,Champions Lg,Group stage,Thu,Away,W,4,1,ru CSKA Moscow,4.3,0.6,62,29073,Ashley Young,3-4-3,Jonas Eriksson,Match Report,,15,9,17.3,1.0,1,1,7,0,0,0,653.0,767.0,10039.0,2997.0,17.0,7.0,28.0,7.0,14.0,8,14.0,860.0,49.0,150.0,491.0,227.0,16.0,24.0,644.0,0,0,0,5,10,1,1.0,0.0,0
2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,4,0,Crystal Palace,2.8,0.4,59,75118,David de Gea,4-2-3-1,Mike Dean,Match Report,,18,7,14.0,0.0,0,0,1,0,0,0,505.0,611.0,8886.0,2956.0,21.0,6.0,31.0,8.0,17.0,7,12.0,705.0,74.0,219.0,365.0,127.0,12.0,22.0,498.0,0,0,0,6,8,2,0.0,0.0,0
2017-10-14,12:30,Premier League,Matchweek 8,Sat,Away,D,0,0,Liverpool,0.2,1.5,38,52912,Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,,6,1,24.2,0.0,0,0,5,0,0,0,287.0,394.0,4821.0,1875.0,23.0,3.0,8.0,0.0,21.0,12,11.0,514.0,78.0,206.0,219.0,93.0,10.0,17.0,284.0,2,0,0,13,7,1,0.0,0.0,0
2017-10-18,19:45,Champions Lg,Group stage,Wed,Away,W,1,0,pt Benfica,0.6,0.5,64,57684,Antonio Valencia,4-2-3-1,Felix Zwayer,Match Report,,10,4,23.1,2.0,0,0,0,0,0,0,555.0,662.0,9299.0,2983.0,27.0,9.0,15.0,2.0,13.0,12,9.0,755.0,55.0,225.0,387.0,151.0,12.0,22.0,553.0,2,0,0,12,9,7,0.0,0.0,0
2017-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Huddersfield,0.8,1.2,77,24426,Antonio Valencia,4-2-3-1,Lee Mason,Match Report,,9,3,16.8,0.0,0,0,3,0,0,0,679.0,806.0,11669.0,3737.0,28.0,7.0,14.0,1.0,13.0,8,8.0,898.0,49.0,190.0,477.0,234.0,13.0,28.0,678.0,2,0,0,12,10,3,0.0,0.0,0
2017-10-24,19:45,EFL Cup,Fourth round,Tue,Away,W,2,0,Swansea City,,,57,20083,Chris Smalling,3-4-1-2,Robert Madley,Match Report,,13,5,,,0,0,3,0,0,0,,,,,,,,,,10,,,,,,,,,,2,0,0,10,17,3,0.0,0.0,0
2017-10-28,12:30,Premier League,Matchweek 10,Sat,Home,W,1,0,Tottenham,0.8,1.2,45,75034,Antonio Valencia,3-4-1-2,Jonathan Moss,Match Report,,11,3,18.2,1.0,0,0,4,0,0,0,311.0,459.0,5524.0,2261.0,28.0,6.0,17.0,2.0,9.0,4,14.0,584.0,66.0,161.0,261.0,167.0,7.0,14.0,308.0,1,0,0,12,14,2,0.0,0.0,0
2017-10-31,19:45,Champions Lg,Group stage,Tue,Home,W,2,0,pt Benfica,2.7,0.9,51,74437,Chris Smalling,4-2-3-1,Gediminas Mažeika,Match Report,,14,3,21.8,1.0,1,2,4,0,0,0,479.0,574.0,7685.0,2720.0,15.0,4.0,25.0,2.0,25.0,12,14.0,678.0,54.0,200.0,370.0,117.0,12.0,16.0,476.0,2,0,0,13,9,3,1.0,0.0,0
2017-11-05,16:30,Premier League,Matchweek 11,Sun,Away,L,0,1,Chelsea,0.7,1.6,46,41615,Antonio Valencia,3-4-1-2,Anthony Taylor,Match Report,,10,2,21.6,1.0,0,0,8,0,0,0,334.0,449.0,5899.0,2284.0,29.0,7.0,15.0,0.0,13.0,5,11.0,553.0,64.0,151.0,257.0,148.0,4.0,9.0,331.0,3,0,0,20,16,0,0.0,0.0,0
2017-11-18,17:30,Premier League,Matchweek 12,Sat,Home,W,4,1,Newcastle Utd,3.1,1.1,65,75035,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,16,7,11.5,0.0,0,0,5,0,0,0,577.0,687.0,10085.0,3189.0,26.0,11.0,32.0,8.0,15.0,12,5.0,769.0,45.0,157.0,385.0,229.0,12.0,24.0,572.0,1,0,0,10,9,1,0.0,0.0,0
2017-11-22,20:45,Champions Lg,Group stage,Wed,Away,L,0,1,ch Basel,1.5,1.1,68,36000,Paul Pogba,4-3-3,Daniele Orsato,Match Report,,14,3,16.8,1.0,0,0,6,0,0,0,605.0,714.0,9952.0,3287.0,20.0,6.0,27.0,0.0,15.0,8,3.0,804.0,51.0,160.0,491.0,159.0,7.0,16.0,602.0,1,0,0,13,7,1,0.0,0.0,0
2017-11-25,15:00,Premier League,Matchweek 13,Sat,Home,W,1,0,Brighton,1.2,0.5,58,75018,Antonio Valencia,4-2-3-1,Niel Swarbrick,Match Report,,15,4,17.1,0.0,0,0,2,0,0,0,504.0,619.0,8138.0,2626.0,22.0,5.0,26.0,0.0,10.0,7,9.0,709.0,41.0,140.0,342.0,230.0,18.0,24.0,498.0,0,0,0,9,9,2,0.0,0.0,0
2017-11-28,20:00,Premier League,Matchweek 14,Tue,Away,W,4,2,Watford,1.2,1.4,41,20552,Antonio Valencia,3-4-3,Jonathan Moss,Match Report,,15,6,19.3,2.0,0,0,3,1,0,0,280.0,383.0,5245.0,2267.0,25.0,5.0,26.0,7.0,14.0,10,15.0,510.0,75.0,175.0,237.0,100.0,13.0,18.0,276.0,1,0,0,10,12,0,0.0,1.0,0
2017-12-02,17:30,Premier League,Matchweek 15,Sat,Away,W,3,1,Arsenal,1.8,4.7,25,59547,Antonio Valencia,3-4-1-2,Andre Marriner,Match Report,,8,4,13.0,0.0,0,0,14,0,0,0,160.0,240.0,2982.0,1592.0,12.0,1.0,14.0,6.0,15.0,7,23.0,413.0,125.0,232.0,118.0,66.0,7.0,14.0,157.0,2,1,0,10,10,0,0.0,0.0,0
2017-12-05,19:45,Champions Lg,Group stage,Tue,Home,W,2,1,ru CSKA Moscow,2.9,0.8,56,74669,Antonio Valencia,3-4-1-2,Gianluca Rocchi,Match Report,,15,7,14.7,1.0,0,0,3,0,0,0,518.0,647.0,8849.0,2924.0,20.0,9.0,26.0,4.0,25.0,16,11.0,755.0,55.0,170.0,381.0,213.0,25.0,29.0,511.0,1,0,0,11,11,0,0.0,0.0,0
2017-12-10,16:30,Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester City,1.4,1.7,36,74847,Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,,8,5,15.5,1.0,0,0,7,0,0,0,250.0,363.0,4623.0,1813.0,20.0,2.0,14.0,2.0,22.0,16,13.0,465.0,71.0,214.0,186.0,73.0,14.0,22.0,245.0,4,0,0,16,10,4,0.0,0.0,0
2017-12-13,20:00,Premier League,Matchweek 17,Wed,Home,W,1,0,Bournemouth,1.1,0.8,57,74798,Antonio Valencia,4-2-3-1,Graham Scott,Match Report,,9,2,14.6,0.0,0,0,7,0,0,0,507.0,615.0,8021.0,2569.0,21.0,4.0,16.0,2.0,13.0,10,13.0,716.0,63.0,190.0,374.0,153.0,8.0,14.0,501.0,1,0,0,14,12,2,0.0,0.0,0
2017-12-17,14:15,Premier League,Matchweek 18,Sun,Away,W,2,1,West Brom,0.7,1.1,56,24782,Antonio Valencia,4-2-3-1,Anthony Taylor,Match Report,,8,3,17.8,0.0,0,0,5,0,0,0,513.0,628.0,8378.0,2853.0,20.0,3.0,12.0,4.0,12.0,7,8.0,717.0,66.0,223.0,317.0,181.0,10.0,15.0,504.0,3,0,0,7,13,1,0.0,0.0,0
2017-12-20,20:00,EFL Cup,Quarter-finals,Wed,Away,L,1,2,Bristol City,,,55,26088,Zlatan Ibrahimović,4-3-3,Mike Dean,Match Report,,19,5,,,0,0,6,0,0,0,,,,,,,,,,14,,,,,,,,,,2,0,0,12,13,1,0.0,0.0,0
2017-12-23,19:45,Premier League,Matchweek 19,Sat,Away,D,2,2,Leicester City,1.9,1.4,51,32202,Paul Pogba,4-2-3-1,Jonathan Moss,Match Report,,19,6,22.4,1.0,0,0,3,0,0,0,394.0,498.0,5897.0,2269.0,20.0,6.0,34.0,4.0,17.0,12,9.0,603.0,61.0,188.0,257.0,165.0,12.0,14.0,387.0,2,0,0,8,18,5,0.0,0.0,0
2017-12-26,15:00,Premier League,Matchweek 20,Tue,Home,D,2,2,Burnley,2.0,0.5,71,75046,Paul Pogba,4-2-3-1,Martin Atkinson,Match Report,,24,5,18.3,1.0,0,0,2,0,0,0,577.0,719.0,9423.0,3124.0,24.0,12.0,45.0,3.0,11.0,11,7.0,809.0,37.0,163.0,327.0,322.0,10.0,13.0,573.0,3,0,0,10,13,0,0.0,0.0,0
2017-12-30,17:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Southampton,1.7,0.6,54,75051,Paul Pogba,4-2-3-1,Craig Pawson,Match Report,,15,3,20.0,1.0,0,0,3,0,0,0,451.0,554.0,7566.0,2714.0,18.0,10.0,29.0,0.0,14.0,12,9.0,656.0,50.0,185.0,291.0,185.0,13.0,24.0,448.0,2,0,0,12,12,1,0.0,0.0,0
2018-01-01,17:30,Premier League,Matchweek 22,Mon,Away,W,2,0,Everton,1.4,1.2,60,39188,Paul Pogba,4-3-3,Andre Marriner,Match Report,,21,6,24.6,0.0,0,0,0,0,0,0,518.0,622.0,7622.0,2617.0,27.0,6.0,43.0,4.0,12.0,8,12.0,735.0,62.0,177.0,331.0,232.0,9.0,15.0,514.0,0,0,0,10,10,1,0.0,0.0,0
2018-01-05,20:00,FA Cup,Third round,Fri,Home,W,2,0,Derby County,,,66,73899,Paul Pogba,4-1-4-1,Kevin Friend,Match Report,,28,10,,,0,0,2,0,0,0,,,,,,,,,,14,,,,,,,,,,0,0,0,6,11,1,,,0
2018-01-15,20:00,Premier League,Matchweek 23,Mon,Home,W,3,0,Stoke City,1.5,1.3,60,74726,Antonio Valencia,4-2-3-1,Anthony Taylor,Match Report,,20,9,18.2,2.0,0,0,4,0,0,0,559.0,638.0,9181.0,2812.0,13.0,6.0,36.0,6.0,15.0,10,5.0,722.0,42.0,185.0,361.0,191.0,9.0,16.0,553.0,2,0,0,14,10,4,0.0,0.0,0
2018-01-20,15:00,Premier League,Matchweek 24,Sat,Away,W,1,0,Burnley,0.8,1.0,52,21841,Antonio Valencia,4-3-3,Mike Dean,Match Report,,12,2,18.7,0.0,0,0,3,0,0,0,394.0,512.0,6566.0,2540.0,26.0,4.0,24.0,1.0,13.0,6,11.0,635.0,67.0,213.0,254.0,181.0,13.0,22.0,388.0,3,0,0,13,6,2,0.0,0.0,0
2018-01-26,19:55,FA Cup,Fourth round,Fri,Away,W,4,0,Yeovil Town,,,74,9195,Michael Carrick,4-3-3,Paul Tierney,Match Report,,19,7,,,0,0,5,0,0,0,,,,,,,,,,13,,,,,,,,,,1,0,0,12,10,2,,,0
2018-01-31,20:00,Premier League,Matchweek 25,Wed,Away,L,0,2,Tottenham,1.0,1.5,48,81978,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,,6,3,12.7,0.0,0,0,6,0,0,0,399.0,516.0,6763.0,2766.0,15.0,3.0,8.0,0.0,25.0,15,17.0,636.0,82.0,255.0,265.0,124.0,9.0,21.0,393.0,2,0,0,13,10,9,0.0,0.0,1
2018-02-03,15:00,Premier League,Matchweek 26,Sat,Home,W,2,0,Huddersfield,1.6,0.2,74,74742,Antonio Valencia,4-2-3-1,Stuart Attwell,Match Report,,15,6,19.7,0.0,0,1,0,0,0,0,728.0,832.0,12130.0,3665.0,23.0,5.0,29.0,3.0,15.0,9,7.0,918.0,33.0,178.0,485.0,264.0,27.0,33.0,725.0,2,0,0,5,19,4,1.0,0.0,0
2018-02-11,14:15,Premier League,Matchweek 27,Sun,Away,L,0,1,Newcastle Utd,1.9,0.5,64,52309,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,13,3,13.5,0.0,0,0,3,0,0,0,546.0,696.0,9610.0,3333.0,33.0,10.0,22.0,0.0,12.0,9,14.0,789.0,52.0,209.0,344.0,243.0,18.0,27.0,542.0,2,0,0,15,12,2,0.0,0.0,0
2018-02-17,17:30,FA Cup,Fifth round,Sat,Away,W,2,0,Huddersfield,,,46,17861,Michael Carrick,4-3-3,Kevin Friend,Match Report,,5,2,,,0,0,5,0,0,0,,,,,,,,,,13,,,,,,,,,,0,0,0,10,13,6,,,0
2018-02-21,20:45,Champions Lg,Round of 16,Wed,Away,D,0,0,es Sevilla,0.7,2.0,43,39725,Antonio Valencia,4-3-3,Clément Turpin,Match Report,Leg 1 of 2,6,1,26.5,2.0,0,0,8,0,0,0,337.0,421.0,5679.0,2127.0,17.0,4.0,11.0,0.0,14.0,9,17.0,526.0,65.0,153.0,269.0,110.0,16.0,21.0,335.0,1,0,0,22,12,1,0.0,0.0,0
2018-02-25,14:05,Premier League,Matchweek 28,Sun,Home,W,2,1,Chelsea,1.2,1.7,44,75060,Antonio Valencia,4-1-2-1-2◆,Martin Atkinson,Match Report,,10,5,15.3,0.0,0,0,7,0,0,0,373.0,470.0,5982.0,2085.0,13.0,3.0,19.0,4.0,20.0,14,11.0,577.0,52.0,167.0,235.0,179.0,13.0,21.0,364.0,2,0,0,13,12,1,0.0,0.0,0
2018-03-05,20:00,Premier League,Matchweek 29,Mon,Away,W,3,2,Crystal Palace,1.2,0.6,69,25840,Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,,17,7,19.2,1.0,0,0,4,0,0,0,583.0,708.0,9491.0,3201.0,28.0,7.0,31.0,4.0,9.0,6,7.0,808.0,51.0,214.0,366.0,235.0,16.0,20.0,575.0,3,0,0,8,10,2,0.0,0.0,0
2018-03-10,12:30,Premier League,Matchweek 30,Sat,Home,W,2,1,Liverpool,0.7,0.7,33,74855,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,5,2,11.2,0.0,0,0,2,0,0,0,212.0,314.0,3614.0,1620.0,18.0,1.0,9.0,3.0,22.0,15,8.0,444.0,82.0,193.0,181.0,77.0,7.0,10.0,209.0,2,0,0,10,16,3,0.0,0.0,1
2018-03-13,19:45,Champions Lg,Round of 16,Tue,Home,L,1,2,es Sevilla,1.9,1.7,51,74909,Antonio Valencia,4-1-4-1,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won,17,3,16.3,2.0,0,0,6,0,0,0,414.0,537.0,6922.0,2851.0,24.0,5.0,30.0,2.0,25.0,15,10.0,639.0,47.0,181.0,322.0,142.0,15.0,25.0,409.0,1,0,0,9,10,1,0.0,0.0,0
2018-03-17,19:45,FA Cup,Quarter-finals,Sat,Home,W,2,0,Brighton,,,61,74241,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,,8,2,,,0,0,6,0,0,0,,,,,,,,,,9,,,,,,,,,,0,0,0,3,8,0,,,0
2018-03-31,15:00,Premier League,Matchweek 32,Sat,Home,W,2,0,Swansea City,2.2,0.2,66,75038,Antonio Valencia,4-2-3-1,Robert Madley,Match Report,,11,5,15.4,0.0,0,0,2,0,0,0,695.0,787.0,10302.0,3162.0,16.0,3.0,19.0,2.0,17.0,12,6.0,869.0,49.0,178.0,472.0,223.0,10.0,19.0,689.0,0,0,0,5,13,5,0.0,0.0,0
2018-04-07,17:30,Premier League,Matchweek 33,Sat,Away,W,3,2,Manchester City,1.1,2.6,36,54259,Antonio Valencia,4-3-3,Martin Atkinson,Match Report,,5,4,16.9,0.0,0,0,6,0,0,0,264.0,354.0,4433.0,1751.0,17.0,4.0,11.0,6.0,11.0,6,11.0,456.0,68.0,154.0,207.0,103.0,16.0,22.0,256.0,3,0,0,9,17,2,0.0,0.0,0
2018-04-15,16:00,Premier League,Matchweek 34,Sun,Home,L,0,1,West Brom,0.7,0.7,70,75095,Antonio Valencia,4-3-3,Paul Tierney,Match Report,,14,4,21.1,0.0,0,0,4,0,0,0,681.0,792.0,10627.0,3301.0,16.0,4.0,27.0,0.0,15.0,6,12.0,889.0,35.0,159.0,424.0,310.0,14.0,16.0,675.0,1,0,0,8,13,4,0.0,0.0,0
2018-04-18,19:45,Premier League,Matchweek 35,Wed,Away,W,2,0,Bournemouth,1.3,1.2,55,10952,David de Gea,4-3-3,Graham Scott,Match Report,,13,4,20.7,1.0,0,0,2,0,0,0,491.0,598.0,8295.0,3032.0,21.0,5.0,22.0,4.0,19.0,16,16.0,711.0,71.0,210.0,340.0,171.0,10.0,16.0,487.0,1,0,0,8,8,3,0.0,0.0,0
2018-04-21,17:15,FA Cup,Semi-finals,Sat,Home,W,2,1,Tottenham,,,36,84667,Antonio Valencia,4-3-3,Anthony Taylor,Match Report,,12,5,,,0,0,2,0,0,0,,,,,,,,,,8,,,,,,,,,,4,0,0,18,10,1,,,0
2018-04-29,16:30,Premier League,Matchweek 36,Sun,Home,W,2,1,Arsenal,1.7,0.5,59,75035,Antonio Valencia,4-3-3,Kevin Friend,Match Report,,16,2,17.7,1.0,0,0,3,0,0,0,579.0,675.0,9346.0,2923.0,22.0,9.0,24.0,3.0,16.0,10,5.0,767.0,40.0,185.0,350.0,238.0,10.0,21.0,575.0,0,0,0,12,6,2,0.0,0.0,0
2018-05-04,20:00,Premier League,Matchweek 37,Fri,Away,L,0,1,Brighton,0.8,1.0,68,30611,Ashley Young,4-3-3,Craig Pawson,Match Report,,16,3,22.0,2.0,0,0,4,0,0,0,627.0,722.0,9887.0,3059.0,23.0,6.0,33.0,0.0,8.0,5,10.0,829.0,55.0,203.0,393.0,236.0,17.0,26.0,620.0,0,0,0,3,5,2,0.0,0.0,0
2018-05-10,19:45,Premier League,Matchweek 31,Thu,Away,D,0,0,West Ham,0.8,0.6,56,56902,Antonio Valencia,5-3-2,Jonathan Moss,Match Report,,16,6,24.5,0.0,0,0,2,0,0,0,550.0,647.0,8069.0,2683.0,25.0,6.0,28.0,0.0,16.0,11,6.0,727.0,48.0,178.0,361.0,195.0,17.0,22.0,548.0,1,0,0,12,12,2,0.0,0.0,0
2018-05-13,15:00,Premier League,Matchweek 38,Sun,Home,W,1,0,Watford,0.4,0.6,52,75049,Michael Carrick,4-3-3,Lee Mason,Match Report,,7,1,23.4,0.0,0,0,3,0,0,0,398.0,507.0,6631.0,2627.0,23.0,6.0,13.0,2.0,25.0,18,6.0,608.0,61.0,187.0,283.0,142.0,11.0,15.0,392.0,4,0,0,6,11,5,0.0,0.0,0
2018-05-19,17:15,FA Cup,Final,Sat,Away,L,0,1,Chelsea,,,67,87647,Antonio Valencia,4-4-2◆,Michael Oliver,Match Report,,18,5,,,0,0,2,1,0,0,,,,,,,,,,12,,,,,,,,,,2,0,0,13,10,1,,,0
