Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Season,Team
2018-08-12,16:00,Premier League,Matchweek 1,Sun,Away,W,2,0,Arsenal,1.7,0.5,58.0,59934,Fernandinho,4-2-3-1,Michael Oliver,Match Report,,17.0,8.0,18.2,1.0,0,0,3.0,0,0,0,492.0,601.0,7980.0,2720.0,20.0,9.0,25.0,4.0,6.0,5.0,14.0,688.0,67.0,191.0,329.0,173.0,9.0,15.0,486.0,2,0,0,14.0,11.0,2.0,0.0,0.0,0,2018,Manchester City
2018-08-19,13:30,Premier League,Matchweek 2,Sun,Home,W,6,1,Huddersfield,4.2,0.7,76.0,54021,Vincent Kompany,3-1-4-2,Andre Marriner,Match Report,,32.0,14.0,18.0,1.0,0,0,1.0,0,0,0,732.0,806.0,11764.0,3222.0,15.0,10.0,52.0,7.0,5.0,3.0,13.0,925.0,36.0,136.0,439.0,357.0,18.0,23.0,729.0,0,0,0,9.0,4.0,1.0,0.0,0.0,0,2018,Manchester City
2018-08-25,12:30,Premier League,Matchweek 3,Sat,Away,D,1,1,Wolves,1.6,1.0,71.0,31322,Vincent Kompany,4-3-3,Martin Atkinson,Match Report,,18.0,6.0,18.6,1.0,0,0,2.0,0,0,0,601.0,698.0,9432.0,2914.0,20.0,9.0,31.0,2.0,9.0,8.0,10.0,790.0,39.0,127.0,440.0,227.0,16.0,20.0,598.0,2,0,0,8.0,13.0,3.0,0.0,0.0,0,2018,Manchester City
2018-09-01,17:30,Premier League,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2.0,0.5,78.0,53946,David Silva,4-1-3-2,Kevin Friend,Match Report,,24.0,8.0,17.5,3.0,0,0,2.0,0,0,0,730.0,827.0,11155.0,3167.0,31.0,4.0,43.0,3.0,9.0,6.0,6.0,914.0,27.0,116.0,508.0,296.0,8.0,13.0,723.0,0,0,0,5.0,13.0,2.0,0.0,0.0,0,2018,Manchester City
2018-09-15,15:00,Premier League,Matchweek 5,Sat,Home,W,3,0,Fulham,4.8,0.4,64.0,53307,David Silva,4-3-3,Stuart Attwell,Match Report,,28.0,9.0,16.6,1.0,0,0,3.0,0,0,0,696.0,782.0,10925.0,3215.0,17.0,10.0,50.0,5.0,16.0,11.0,9.0,897.0,49.0,163.0,477.0,263.0,13.0,17.0,682.0,0,0,0,7.0,7.0,5.0,0.0,0.0,0,2018,Manchester City
2018-09-22,15:00,Premier League,Matchweek 6,Sat,Away,W,5,0,Cardiff City,2.5,0.1,78.0,32321,Fernandinho,4-3-3,Michael Oliver,Match Report,,21.0,10.0,13.9,1.0,0,0,2.0,0,0,0,755.0,846.0,12211.0,3258.0,15.0,9.0,35.0,8.0,12.0,10.0,2.0,930.0,39.0,148.0,582.0,209.0,6.0,15.0,750.0,1,0,0,4.0,5.0,1.0,0.0,0.0,0,2018,Manchester City
2018-09-29,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,2.7,0.2,79.0,54152,David Silva,4-3-3,Lee Mason,Match Report,,28.0,8.0,15.9,0.0,0,0,1.0,0,0,0,818.0,900.0,12037.0,2901.0,18.0,10.0,52.0,4.0,15.0,10.0,4.0,998.0,27.0,92.0,466.0,443.0,13.0,18.0,811.0,0,0,0,4.0,10.0,0.0,0.0,0.0,0,2018,Manchester City
2018-10-07,16:30,Premier League,Matchweek 8,Sun,Away,D,0,0,Liverpool,1.0,0.4,51.0,52117,David Silva,4-2-3-1,Martin Atkinson,Match Report,,5.0,2.0,19.1,0.0,0,1,2.0,0,0,0,460.0,570.0,7166.0,2485.0,18.0,6.0,10.0,0.0,16.0,11.0,12.0,667.0,81.0,223.0,332.0,118.0,7.0,13.0,456.0,3,0,0,10.0,10.0,5.0,1.0,0.0,0,2018,Manchester City
2018-10-20,15:00,Premier League,Matchweek 9,Sat,Home,W,5,0,Burnley,4.0,0.4,69.0,54094,Vincent Kompany,4-3-3,Jonathan Moss,Match Report,,24.0,10.0,12.7,0.0,0,0,0.0,0,0,0,621.0,716.0,10306.0,3249.0,15.0,10.0,44.0,10.0,15.0,8.0,7.0,799.0,59.0,219.0,352.0,235.0,5.0,12.0,611.0,2,0,0,11.0,5.0,0.0,0.0,0.0,0,2018,Manchester City
2018-10-29,20:00,Premier League,Matchweek 10,Mon,Away,W,1,0,Tottenham,1.6,0.4,51.0,56854,David Silva,4-3-3,Kevin Friend,Match Report,,13.0,5.0,15.7,1.0,0,0,1.0,0,0,0,446.0,547.0,7458.0,2328.0,9.0,6.0,22.0,2.0,12.0,6.0,8.0,652.0,66.0,183.0,305.0,169.0,13.0,23.0,442.0,2,0,0,13.0,11.0,4.0,0.0,0.0,0,2018,Manchester City
