,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
14,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Away,W,3,2,West Brom,2.3,1.5,77,24003,David Silva,4-3-3,Mike Jones,Match Report,,15,5,20.1,2.0,0,0,4,0,0,0,861.0,959.0,13629.0,4248.0,15.0,2.0,28.0,5.0,16.0,11,12.0,1065.0,53.0,211.0,538.0,323.0,15.0,20.0,857.0,3,0,0,7,10,1,0.0,0.0,0
15,2017-11-01,20:45,Champions Lg,Group stage,Wed,Away,W,4,2,it Napoli,1.4,2.1,51,44483,Fernandinho,4-3-3,Felix Brych,Match Report,,17,5,16.4,1.0,0,0,6,1,0,0,545.0,640.0,8631.0,2477.0,18.0,6.0,31.0,7.0,13.0,10,16.0,772.0,84.0,269.0,365.0,150.0,28.0,34.0,544.0,1,0,0,12,8,1,0.0,1.0,0
16,2017-11-05,14:15,Premier League,Matchweek 11,Sun,Home,W,3,1,Arsenal,1.8,0.3,57,54286,David Silva,4-3-3,Michael Oliver,Match Report,,8,4,16.5,0.0,1,1,3,0,0,0,567.0,662.0,8815.0,2800.0,16.0,5.0,18.0,6.0,18.0,12,9.0,763.0,76.0,219.0,387.0,166.0,16.0,19.0,566.0,1,0,0,15,15,3,1.0,0.0,0
17,2017-11-18,15:00,Premier League,Matchweek 12,Sat,Away,W,2,0,Leicester City,1.9,0.2,73,31908,Vincent Kompany,4-3-3,Graham Scott,Match Report,,12,4,17.7,0.0,0,0,0,0,0,0,724.0,820.0,11860.0,3753.0,19.0,7.0,23.0,4.0,13.0,10,9.0,912.0,45.0,187.0,510.0,219.0,13.0,16.0,721.0,1,0,0,10,8,1,0.0,0.0,0
18,2017-11-21,19:45,Champions Lg,Group stage,Tue,Home,W,1,0,nl Feyenoord,1.3,0.3,75,43548,Sergio Agüero,4-3-3,Ivan Kružliak,Match Report,,14,4,20.2,1.0,0,0,3,0,0,0,813.0,920.0,11993.0,3498.0,16.0,6.0,25.0,2.0,11.0,6,9.0,1027.0,42.0,153.0,684.0,196.0,15.0,20.0,809.0,3,0,0,11,14,3,0.0,0.0,0
19,2017-11-26,16:00,Premier League,Matchweek 13,Sun,Away,W,2,1,Huddersfield,2.6,0.6,78,24121,Vincent Kompany,4-3-3,Craig Pawson,Match Report,,13,4,17.5,1.0,1,1,0,0,0,0,665.0,773.0,10614.0,3154.0,16.0,7.0,24.0,3.0,21.0,15,9.0,877.0,37.0,140.0,442.0,301.0,15.0,25.0,664.0,3,0,0,10,10,3,1.0,0.0,1
20,2017-11-29,20:00,Premier League,Matchweek 14,Wed,Home,W,2,1,Southampton,1.4,1.3,74,53407,Vincent Kompany,4-3-3,Paul Tierney,Match Report,,26,12,21.6,0.0,0,0,2,0,0,0,704.0,835.0,10817.0,3212.0,29.0,6.0,48.0,4.0,16.0,8,11.0,940.0,29.0,119.0,512.0,319.0,7.0,10.0,699.0,1,0,0,12,11,1,0.0,0.0,0
21,2017-12-03,16:00,Premier League,Matchweek 15,Sun,Home,W,2,1,West Ham,2.3,0.6,76,54203,David Silva,4-3-3,Mike Dean,Match Report,,24,8,19.6,1.0,0,0,4,0,0,0,693.0,807.0,10843.0,3130.0,20.0,10.0,47.0,4.0,22.0,18,8.0,912.0,39.0,132.0,360.0,426.0,13.0,18.0,692.0,2,0,0,5,7,2,0.0,0.0,0
22,2017-12-06,21:45,Champions Lg,Group stage,Wed,Away,L,1,2,ua Shakhtar,1.7,1.7,67,33154,Fernandinho,3-4-3,Benoît Bastien,Match Report,,9,1,15.6,0.0,1,1,6,0,0,0,688.0,768.0,10645.0,3334.0,23.0,6.0,19.0,2.0,17.0,8,8.0,852.0,41.0,138.0,500.0,225.0,25.0,35.0,682.0,2,0,0,10,9,2,1.0,0.0,0
23,2017-12-10,16:30,Premier League,Matchweek 16,Sun,Away,W,2,1,Manchester Utd,1.7,1.4,64,74847,Vincent Kompany,4-3-3,Michael Oliver,Match Report,,14,7,17.9,0.0,0,0,5,0,0,0,523.0,639.0,8043.0,2670.0,20.0,8.0,24.0,3.0,18.0,12,4.0,733.0,50.0,182.0,346.0,211.0,17.0,24.0,515.0,2,0,0,10,15,0,0.0,0.0,0
24,2017-12-13,19:45,Premier League,Matchweek 17,Wed,Away,W,4,0,Swansea City,2.7,0.6,78,20870,David Silva,4-3-3,Anthony Taylor,Match Report,,23,10,16.0,2.0,0,0,3,0,0,0,793.0,876.0,11540.0,3433.0,22.0,5.0,41.0,7.0,17.0,14,6.0,970.0,45.0,193.0,491.0,293.0,19.0,25.0,785.0,0,0,0,6,11,1,0.0,0.0,0
25,2017-12-16,17:30,Premier League,Matchweek 18,Sat,Home,W,4,1,Tottenham,3.4,0.2,52,54214,Fernandinho,4-3-3,Craig Pawson,Match Report,,19,11,15.3,0.0,0,1,2,0,0,0,392.0,494.0,6851.0,2617.0,18.0,5.0,35.0,8.0,18.0,11,12.0,597.0,51.0,191.0,246.0,166.0,14.0,18.0,390.0,2,0,0,13,19,4,1.0,0.0,0
26,2017-12-19,19:45,EFL Cup,Quarter-finals,Tue,Away,D,1 (4),1 (3),Leicester City,,,60,31562,Yaya Touré,4-3-3,Robert Madley,Match Report,Manchester City won on penalty kicks following extra time,12,7,,,0,0,4,1,0,0,,,,,,,,,,15,,,,,,,,,,3,0,0,15,19,3,0.0,1.0,0
27,2017-12-23,15:00,Premier League,Matchweek 19,Sat,Home,W,4,0,Bournemouth,1.5,0.4,78,54270,Vincent Kompany,4-3-3,Mike Jones,Match Report,,14,5,20.2,0.0,0,0,1,0,0,0,851.0,948.0,13221.0,3346.0,21.0,4.0,24.0,8.0,19.0,16,4.0,1018.0,41.0,161.0,596.0,270.0,9.0,12.0,848.0,0,0,0,8,7,4,0.0,0.0,0
